Tweet,Sentiment
﻿@Tesco #Trafford 2/2 - how many millions do you make from #Trafford residents each year? Surely you could support t… https://t.co/nno1cUSQLI,neutral
"@Tesco #Trafford 1/2  bitterly disappointed, that when presented with my genuine ID as elected member of… https://t.co/y6Oc3Urkm7",neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
RT @MusicInTrafford: MUSIC DONATIONS NEEDED Having a #MariKondo clearout?,neutral
"We're looking for donations of used, good quality sheet music…",positive
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
It’s been an exciting few weeks for @tweet_tdas welcoming our new (and amazing) office administrator Jade to the te… https://t.co/7bBJ5ptvjm,positive
RT @Odbe34: So #BBCNews send their main reporter to Bath and not to #Trafford?! #GreaterManchester = 100% Labour,neutral
So #BBCNews send their main reporter to Bath and not to #Trafford?! #GreaterManchester = 100% Labour,neutral
RT @NinaWarhurst: And I tell you what - the gains in #Trafford were where parties focused hard work &amp; hard miles of campaigning ; knocking…,neutral
"RT @OxfamHaleBarns: Join us this #BankHolidayWeekend ⛱ at Oxfam Hale Barns for bargains galore for all the family, helping to raise funds f…",neutral
RT @NinaWarhurst: And I tell you what - the gains in #Trafford were where parties focused hard work &amp; hard miles of campaigning ; knocking…,neutral
RT @YvonneB75861709: Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32 @FOVPStret…,positive
"Join us this #BankHolidayWeekend ⛱ at Oxfam Hale Barns for bargains galore for all the family, helping to raise fun… https://t.co/0rEwykXSt4",neutral
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
RT @LabourSaleMoor: This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Isobel…,positive
@TomWRoss Thank you so much for your support - always there for #Trafford,positive
RT @UrmstonHomecare: Here are our top tips for food and fluid nutrition for older adults. Help your loved one live a healthy lifestyle. 🍇🍈🍉…,positive
Here are our top tips for food and fluid nutrition for older adults. Help your loved one live a healthy lifestyle.… https://t.co/HW43dgcgVz,positive
RT @BongosRockNRoll: Tomorrow @_themarketco #urmston #artisanmarket #manchester come see us and #buybongos #Bongochilli #chillis #homemade…,positive
It's the BANK HOLIDAY weekend! Time to relax and make some plans. Don't waste a minute! There's so much going on in… https://t.co/VMITGwKUez,positive
RT @JerryHicksUnite: #LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in a…",neutral
RT @YvonneB75861709: Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32 @FOVPStret…,positive
"RT @GMWalkingFest: Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea at th…",positive
RT @YvonneB75861709: Great to talk about our Walking for Health Scheme in Trafford linking with #Gp surgeries .   @TraffordCCG @SaleSports…,positive
Tomorrow @_themarketco #urmston #artisanmarket #manchester come see us and #buybongos #Bongochilli #chillis… https://t.co/Qy5oPL5p4S,neutral
RT @TraffordCCG: #Trafford are 100% in support of a new #GM suicide prevention campaign that launched on Wednesday #ShiningALightOnSuicide…,neutral
RT @TraffordCCG: #Trafford are 100% in support of a new #GM suicide prevention campaign that launched on Wednesday #ShiningALightOnSuicide…,neutral
#Trafford are 100% in support of a new #GM suicide prevention campaign that launched on Wednesday… https://t.co/Kwi4NsJJue,neutral
RT @LabourSaleMoor: This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Isobel…,positive
Great to talk about our Walking for Health Scheme in Trafford linking with #Gp surgeries .   @TraffordCCG… https://t.co/ZPPhjW3Wmq,neutral
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
RT @LabourSaleMoor: This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Isobel…,positive
RT @YvonneB75861709: Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32 @FOVPStret…,positive
RT @LabourSaleMoor: Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr for #…,negative
Been a busy day but need to say how delighted I am that @BenHartleyAOM was elected as the first ever #Labour Cllr f… https://t.co/VKRebfY5CL,negative
Fantastic news for #Trafford residents. Please spread the word. @HealthwatchTraf @TraffordCCG @StretfordM32… https://t.co/4vb1nf3lvV,neutral
@great_together #moreincommon I’m helping put together the stage for our GREAT GET TOGETHER in #Altrincham… https://t.co/OVjpeR29hZ,positive
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
@seananstee @kjbelfon @OliverRyan95 Like when you gave yourself a pay rise while cutting social funding? #trafford,neutral
"RT @GMWalkingFest: Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea at th…",positive
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
RT @BridgetteMDoyle: Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness #NatWest…,positive
SAD NEWS: We are closed on Monday 6th May,neutral
GOOD NEWS: Its #Maydaybankholiday,neutral
Back open Tuesday 7th MAY,neutral
Enjoy the b… https://t.co/QHQ5qICZoH,neutral
"We have a disastarous Tory government and yet today, #Corbyn is in #Trafford and @HackneyAbbott on TV, both talking… https://t.co/GQEklNYvl6",neutral
RT @sophiertw: Fabulous to welcome @jeremycorbyn @UKLabour to #Trafford to celebrate our historic @UKLabour in Trafford #TraffordLabour #Tr…,positive
Fabulous to welcome @jeremycorbyn @UKLabour to #Trafford to celebrate our historic @UKLabour in Trafford… https://t.co/IcdXP1TqCc,neutral
RT @JerryHicksUnite: #LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in a…",neutral
RT @JerryHicksUnite: #LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in a…",neutral
Huge thanks to ⁦@Annabell_MCR⁩ ⁦@muzzer1010⁩ ⁦@gemmafattahi⁩ for having us today! #Trafford #WomenInBusiness… https://t.co/eP3igbThbD,positive
"Overwhelmingly pleased Hale and Hale Central remained Tory. However, it is with great sorrow that many hardworking… https://t.co/W6bPf9tlzN",neutral
This morning we have scattered the ashes of my beloved sister ⁦@SocialistGreen⁩. Close family &amp; friends present. Is… https://t.co/4SraHs74c8,neutral
#LocalElections2019 #LE2019,neutral
"Corbyn ""the swings to Labour in many parts of the country show that we can win seats in… https://t.co/KuOTwDYfqO",neutral
@jeremycorbyn What a shame @jeremycorbyn that you still fail to support the wishes of the #Trafford voters who vote… https://t.co/TbFLJrnJKb,negative
"RT @GMWalkingFest: Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea at th…",positive
.@UKLabour leader @jeremycorbyn was in #Trafford this morning to celebrate his party taking control of the council… https://t.co/PE8x7N6IG3,neutral
"OK, kind of missing the excitement. Spent a few election nights in that club. #Trafford #LocalElections2019 https://t.co/eD9iXtp3wN",positive
"Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea… https://t.co/kOUhWmRrJl",positive
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
Opening hours over the bank holiday weekend are the same as usual except on Monday we will be open 12-8pm serving o… https://t.co/Z7bpuZ5mWm,negative
RT @everglade_UK: Red is definately the colour.Arched door in #Trafford ⚽️⚽️@VEKA_plc @Universalarches https://t.co/Rh67ZiDcjy,neutral
Great night for .@Trafford_Labour with 6 gains making sure the Tories stay out of Trafford Town hall for many years… https://t.co/uCKURuxzs0,positive
RT @TraffordFIS: #Trafford Directory is searched by thousands of people every week looking for things do for themselves and their families.…,neutral
And I tell you what - the gains in #Trafford were where parties focused hard work &amp; hard miles of campaigning ; kno… https://t.co/IaWrC2Z9cS,negative
"#Trafford Centre owner Intu has said it is bracing for a ""challenging'' 2019, as new chief Matthew Roberts set out… https://t.co/F5A4Ft77qL",neutral
RT @DominicHardwick: On my way to the Manchester count after an election that has already seen FANTASTIC results for the @LibDems. Well don…,positive
#Trafford Directory is searched by thousands of people every week looking for things do for themselves and their fa… https://t.co/UYKkM1G9kz,neutral
Pleased to hear we won #Trafford Council. A real political battleground there. Great result #Labour,positive
#LocalElections2019,neutral
Jeremy Corbyn in #Trafford congratulating local Labour Party - says results nationally are ‘interesting’… https://t.co/0aqFIxgqVZ,neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
@bbclaurak I campaigned in #trafford and that’s simply not true,negative
On my way to the Manchester count after an election that has already seen FANTASTIC results for the @LibDems. Well… https://t.co/BmLHlsSrSw,positive
RT @Jane_Brophy: So proud of our amazing @TraffordLibDems Team who worked so hard to elect our brilliant new #Trafford representatives Cllr…,positive
RT @LisaMeakin2: Lib Dem secretary Jane Brophy says she’s “optimistic” for gains in Timperley and Village. #LE2019 #Trafford https://t.co/r…,neutral
What are the #Trafford local elections 2019 results?,neutral
#Labour  https://t.co/ldwvCvzWwx,neutral
So proud of our amazing @TraffordLibDems Team who worked so hard to elect our brilliant new #Trafford representativ… https://t.co/5FKQK9k9Ri,positive
@seananstee Possibly a @MENnewsdesk reader we can only hope that the tables will turn when people grow up congratul… https://t.co/oF6PsRXH0X,neutral
RT @LisaMeakin2: Tory leader Sean Anstee faces a difficult night. Thirteen blue seats up for grabs compared to Labour’s eight. “The result…,negative
Despite the absolute disgrace at a national level our local #Labour Team work so hard. Delighted that #Trafford is… https://t.co/BsaMdNLPUB,negative
RT @hitsmcrnews: Talking points from #LocalElections19 in Greater Manchester:,neutral
#Trafford is back under Labour control for the first time si…,negative
"RT @WalkRideAlty: If you fancy a sociable ride around #SaleTown along traffic-free routes on Saturday 18th May, @SaleRide @letsrideuk will…",neutral
Talking points from #LocalElections19 in Greater Manchester:,neutral
#Trafford is back under Labour control for the first… https://t.co/H73VySlK89,neutral
RT @BBCRadioManc: We have mixed local election results across Greater Manchester this morning... The big news was in #Trafford where Lab ga…,neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
RT @redknighttrader: Graham Brady will be out of a job soon if he doesn’t tell May to go in the morning #Trafford #Altrincham #Brexit #Elec…,neutral
"RT @WalkRideAlty: If you fancy a sociable ride around #SaleTown along traffic-free routes on Saturday 18th May, @SaleRide @letsrideuk will…",neutral
We have mixed local election results across Greater Manchester this morning... The big news was in #Trafford where… https://t.co/NYwjwpm4PZ,neutral
RT @redknighttrader: Graham Brady will be out of a job soon if he doesn’t tell May to go in the morning #Trafford #Altrincham #Brexit #Elec…,neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19… https://t.co/hopFKT6rj5,positive
Graham Brady will be out of a job soon if he doesn’t tell May to go in the morning #Trafford #Altrincham #Brexit #Elections2019,positive
[Job] Research and Development Scientist | Company: Tenmat Ltd. | Location: Trafford ENG  United Kingdom |… https://t.co/s3rBm9msOB,neutral
[Job] Quality Inspector | Company: Tenmat Ltd. | Location: Trafford ENG  United Kingdom | #Trafford #Ceramic… https://t.co/FNG5i0G6T6,neutral
[Job] Production Operative - CNC Turner (Mazak) | Company: Tenmat Ltd. | Location: Trafford ENG  United Kingdom |… https://t.co/1ZfS2pV1lG,neutral
The @Conservatives dropping 15% in the vote share in #Trafford is shocking! It's supposed to the Tory flagship coun… https://t.co/s3bPyD7X4P,neutral
Labour take #Flixton from Conservatives in the #Trafford #LocalElecctions2019 https://t.co/6f7hc0EMbt,neutral
RT @FairlyOrganic: Another #Green councillor for #Altrincham! #LocalElections2019 #Trafford https://t.co/dhBidYK6JZ,neutral
RT @FairlyOrganic: Another #Green councillor for #Altrincham! #LocalElections2019 #Trafford https://t.co/dhBidYK6JZ,neutral
Another #Green councillor for #Altrincham! #LocalElections2019 #Trafford https://t.co/dhBidYK6JZ,neutral
RT @MadDogsHomeless: Sundays cook was our regulars @annacfryer @LudoTC with their chicken Biryani.,neutral
A hardworking couple who do lots in the…,neutral
"RT @MancElects: Prediction for TRAFFORD Council. Gains for Lab, Lib Dems and Greens at the expense of the Tories. Labour to take overall co…",neutral
RT @weare_pure: The Mayor of #Trafford @TomWRoss visited our interns from our #SupportedInternship and they delivered individual presentati…,neutral
RT @JenniferBagchi: #Trafford WE NEED YOUR HELP...,neutral
We are looking for a local business to donate space (with working kitchen) for a few hou…,neutral
RT @pureinsight1628: We are getting requests for clothing from young people who are struggling financially. Ideally it's nice if these item…,positive
RT @HalecroftRec: We're hiring! #Customer Service Advisor #Part-time based in #Trafford Park #Salary up to £22K with great benefits. Get in…,positive
RT @HalecroftRec: We're hiring! #Product Analyst based in #Trafford Park #salary up to £30K with great benefits. #Stock #online #eCommerce…,positive
"Zoe Barr starts off our new series on the transforming power of Jesus, based on the 7 signs from John’s gospel.",neutral
Cli… https://t.co/NBULH4fBM4,neutral
